\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Study Cases.IntPrjfolder\RMSPowerSims_verification.IntCase\Result Export.ComRes: 
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Study Cases.IntPrjfolder\RMSPowerSims_verification.IntCase\results_short_circuit_and_load_step.ElmRes':
1,b:tnow,s,"Time"
349,s:phi,rad,"Rotor position d-axis referred to the reference bus voltage"
350,s:psi1d:dt,p.u./s,"Flux in 1d-damper winding, derivative"
351,s:psifd:dt,p.u./s,"Excitation Flux, derivative"
352,s:psi1q:dt,p.u./s,"Flux in 1q-damper winding, derivative"
353,s:psi2q:dt,p.u./s,"Flux in 2q-damper winding, derivative"
354,s:speed:dt,p.u./s,"Speed, derivative"
355,s:phi:dt,rad/s,"Rotor position d-axis referred to the reference bus voltage, derivative"
356,c:id,p.u.,"Stator Current, d-axis"
357,c:iq,p.u.,"Stator Current, q-axis"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Power Plant 02.ElmComp\GOV 02.ElmDsl':
358,s:pt,,"pt"
359,s:x1,,"x1"
360,s:pt:dt,,"pt"
361,s:x1:dt,/s,"x1, derivative"
362,s:yi2, ,"yi2"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Power Plant 03.ElmComp\GOV 03.ElmDsl':
363,s:pt,,"pt"
364,s:x1,,"x1"
365,s:pt:dt,,"pt"
366,s:x1:dt,/s,"x1, derivative"
367,s:yi2, ,"yi2"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Power Plant 04.ElmComp\GOV 04.ElmDsl':
368,s:pt,,"pt"
369,s:x1,,"x1"
370,s:pt:dt,,"pt"
371,s:x1:dt,/s,"x1, derivative"
372,s:yi2, ,"yi2"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Power Plant 05.ElmComp\GOV 05.ElmDsl':
373,s:pt,,"pt"
374,s:x1,,"x1"
375,s:pt:dt,,"pt"
376,s:x1:dt,/s,"x1, derivative"
377,s:yi2, ,"yi2"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Power Plant 06.ElmComp\GOV 06.ElmDsl':
378,s:pt,,"pt"
379,s:x1,,"x1"
380,s:pt:dt,,"pt"
381,s:x1:dt,/s,"x1, derivative"
382,s:yi2, ,"yi2"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Power Plant 07.ElmComp\GOV 07.ElmDsl':
383,s:pt,,"pt"
384,s:x1,,"x1"
385,s:pt:dt,,"pt"
386,s:x1:dt,/s,"x1, derivative"
387,s:yi2, ,"yi2"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Power Plant 08.ElmComp\GOV 08.ElmDsl':
388,s:pt,,"pt"
389,s:x1,,"x1"
390,s:pt:dt,,"pt"
391,s:x1:dt,/s,"x1, derivative"
392,s:yi2, ,"yi2"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Power Plant 09.ElmComp\GOV 09.ElmDsl':
393,s:pt,,"pt"
394,s:x1,,"x1"
395,s:pt:dt,,"pt"
396,s:x1:dt,/s,"x1, derivative"
397,s:yi2, ,"yi2"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Power Plant 10.ElmComp\GOV 10.ElmDsl':
398,s:pt,,"pt"
399,s:x1,,"x1"
400,s:pt:dt,,"pt"
401,s:x1:dt,/s,"x1, derivative"
402,s:yi2, ,"yi2"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Load 03.ElmLod':
403,m:Psum:bus1,MW,"Total Active Power"
404,m:Qsum:bus1,Mvar,"Total Reactive Power"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Load 04.ElmLod':
405,m:Psum:bus1,MW,"Total Active Power"
406,m:Qsum:bus1,Mvar,"Total Reactive Power"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Load 07.ElmLod':
407,m:Psum:bus1,MW,"Total Active Power"
408,m:Qsum:bus1,Mvar,"Total Reactive Power"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Load 08.ElmLod':
409,m:Psum:bus1,MW,"Total Active Power"
410,m:Qsum:bus1,Mvar,"Total Reactive Power"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Load 12.ElmLod':
411,m:Psum:bus1,MW,"Total Active Power"
412,m:Qsum:bus1,Mvar,"Total Reactive Power"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Load 15.ElmLod':
413,m:Psum:bus1,MW,"Total Active Power"
414,m:Qsum:bus1,Mvar,"Total Reactive Power"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Load 16.ElmLod':
415,m:Psum:bus1,MW,"Total Active Power"
416,m:Qsum:bus1,Mvar,"Total Reactive Power"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Load 18.ElmLod':
417,m:Psum:bus1,MW,"Total Active Power"
418,m:Qsum:bus1,Mvar,"Total Reactive Power"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Load 20.ElmLod':
419,m:Psum:bus1,MW,"Total Active Power"
420,m:Qsum:bus1,Mvar,"Total Reactive Power"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Load 21.ElmLod':
421,m:Psum:bus1,MW,"Total Active Power"
422,m:Qsum:bus1,Mvar,"Total Reactive Power"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Load 23.ElmLod':
423,m:Psum:bus1,MW,"Total Active Power"
424,m:Qsum:bus1,Mvar,"Total Reactive Power"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Load 24.ElmLod':
425,m:Psum:bus1,MW,"Total Active Power"
426,m:Qsum:bus1,Mvar,"Total Reactive Power"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Load 25.ElmLod':
427,m:Psum:bus1,MW,"Total Active Power"
428,m:Qsum:bus1,Mvar,"Total Reactive Power"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Load 26.ElmLod':
429,m:Psum:bus1,MW,"Total Active Power"
430,m:Qsum:bus1,Mvar,"Total Reactive Power"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Load 27.ElmLod':
431,m:Psum:bus1,MW,"Total Active Power"
432,m:Qsum:bus1,Mvar,"Total Reactive Power"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Load 28.ElmLod':
433,m:Psum:bus1,MW,"Total Active Power"
434,m:Qsum:bus1,Mvar,"Total Reactive Power"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Load 29.ElmLod':
435,m:Psum:bus1,MW,"Total Active Power"
436,m:Qsum:bus1,Mvar,"Total Reactive Power"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Load 31.ElmLod':
437,m:Psum:bus1,MW,"Total Active Power"
438,m:Qsum:bus1,Mvar,"Total Reactive Power"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Load 39.ElmLod':
439,m:Psum:bus1,MW,"Total Active Power"
440,m:Qsum:bus1,Mvar,"Total Reactive Power"
